company,segment,subtype,region,town,website,fit_score,size_band,velvet_angle,why_fit,email,phone,contact_name,linkedin,contact_status,source
The Home Company,Independent furniture retailer,Multi-room furniture & homeware,North West / Yorkshire,Skipton,thehomecompany.co.uk,High,SME,Statement velvet accent chairs & artwork as differentiated range vs their oak/painted lines,"Established 1981, independent, showroom-led — exactly the profile that reorders wholesale ranges",,,,,Needs enrichment,web-search
Magnum Furniture,Independent furniture retailer,General furniture,North West,Leigh,magnumfurniture.co.uk,High,SME,Custom velvet upholstery gives them exclusive stock competitors can't price-match,"25+ yrs, local to Blackpool — low delivery friction, warm-intro potential",,,,,Needs enrichment,web-search
Websters Distinctive Furniture,Independent furniture retailer,Distinctive / premium furniture,Yorkshire,Brighouse,webstersfurniture.co.uk,High,SME,"""Distinctive"" positioning aligns perfectly with bespoke velvet statement pieces","Family business since 1865, premium positioning — wants differentiated not commodity",,,,,Needs enrichment,web-search
Evelyn Lily Interiors,Independent furniture retailer,Premium furniture & interiors,Yorkshire,Pickering,evelynlilyinteriors.co.uk,High,SME,Velvet artwork + accent furniture as premium hero pieces,"Premium quality positioning since 1995, interiors-led",,,,,Needs enrichment,web-search
Cotswold Grey,Lifestyle / interiors boutique,Luxury interiors & lifestyle,South West,Moreton-in-Marsh,cotswoldgrey.com,High,SME,Artisan-sourced buyer — custom velvet fits their curated aesthetic,"Sources directly from artisans/artists — receptive to unique British-made ranges",,,,,Needs enrichment,web-search
Amanda Hanley By Design,Interior designer / showroom,Lifestyle showroom + design,South West,Burford,amandahanley.co.uk,High,SME,Bespoke velvet upholstery complements their exclusive fabrics/upholstery offer,"Family-run showroom offering bespoke upholstery — likely wholesale buyer of components",,,,,Needs enrichment,web-search
Homebarn,Lifestyle / interiors boutique,Vintage + interiors destination,South East,Marlow,homebarnshop.co.uk,Medium,SME,Velvet statement pieces contrast their vintage/reclaimed stock,Destination interiors shop with footfall — good for photogenic hero pieces,,,,,Needs enrichment,web-search
Basus,Lifestyle / interiors boutique,Furniture lighting & accessories,Scotland,Giffnock (Glasgow),basus.co.uk,High,SME,Statement velvet + mosaic/mirrored lines fit their ""unique"" curation,"Stocks unique furniture, lighting and accessories — direct catalogue match",,,,,Needs enrichment,web-search
Ampersand,Interior designer / boutique,Bespoke furniture & interiors,Scotland,Edinburgh,ampersand-edinburgh.co.uk,Medium,SME,Bespoke velvet as a made-to-order option for their design clients,"Interior architecture & bespoke furniture since 1993",,,,,Needs enrichment,web-search
TL Home,Independent lighting retailer,Lighting & furniture showroom,Scotland,Glasgow,tlhome.co.uk,High,Mid,Your lighting range (mosaic lamps, chrome, statement) is the direct hook here,Scotland's largest independent lighting showroom — 500+ designs — natural lighting wholesale buyer,,,,,Needs enrichment,web-search
Chantillie House,Lifestyle / interiors boutique,Statement homeware,Scotland,Scotland,chantilliehouse.com,High,SME,"""Statement"" homeware is literally their category — velvet artwork fits",Specialises in statement homeware pieces with UK-wide delivery,,,,,Needs enrichment,web-search
Haygen,Lifestyle / gift boutique,Homeware fashion & gifts,London,Islington,haygen.co.uk,Medium,SME,Velvet cushions/artwork & gift lines fit their curated gift mix,Curated homeware + gifts boutique — good for accessories & gift SKUs,,,,,Needs enrichment,web-search
Wattle and Daub,Lifestyle / interiors boutique,Home & lifestyle,South East,Godalming,wattleanddaub.co.uk,Medium,SME,Thoughtful UK-made velvet pieces suit their sourced/salvaged ethos,Sources thoughtful products for the home — fits British-made angle,,,,,Needs enrichment,web-search
Harbour Lane Studio,Lifestyle / homeware boutique,Homeware & lighting,Scotland,Edinburgh + Highlands,harbourlane.com,Medium,SME,Made-to-order velvet complements their made-to-order illustrated homeware,Made-to-order homeware & lighting — aligned with bespoke model,,,,,Needs enrichment,web-search
