Name,Segment,Subtype,Region,Town,Website,Fit score,Size band,Velvet angle,Why fit,Contact status,Source,Stage,Owner
The Home Company,Independent furniture retailer,Multi-room furniture & homeware,North West / Yorkshire,Skipton,https://thehomecompany.co.uk,High,SME,Statement velvet accent chairs & artwork as differentiated range vs their oak/painted lines,"Established 1981, independent, showroom-led — exactly the profile that reorders wholesale ranges",Needs enrichment,web-search,DISCOVERED,Central AI
Magnum Furniture,Independent furniture retailer,General furniture,North West,Leigh,https://magnumfurniture.co.uk,High,SME,Custom velvet upholstery gives them exclusive stock competitors can't price-match,"25+ yrs, local to Blackpool — low delivery friction, warm-intro potential",Needs enrichment,web-search,DISCOVERED,Central AI
Websters Distinctive Furniture,Independent furniture retailer,Distinctive / premium furniture,Yorkshire,Brighouse,https://webstersfurniture.co.uk,High,SME,"""Distinctive"" positioning aligns perfectly with bespoke velvet statement pieces","Family business since 1865, premium positioning — wants differentiated not commodity",Needs enrichment,web-search,DISCOVERED,Central AI
Evelyn Lily Interiors,Independent furniture retailer,Premium furniture & interiors,Yorkshire,Pickering,https://evelynlilyinteriors.co.uk,High,SME,Velvet artwork + accent furniture as premium hero pieces,"Premium quality positioning since 1995, interiors-led",Needs enrichment,web-search,DISCOVERED,Central AI
Cotswold Grey,Lifestyle / interiors boutique,Luxury interiors & lifestyle,South West,Moreton-in-Marsh,https://cotswoldgrey.com,High,SME,Artisan-sourced buyer — custom velvet fits their curated aesthetic,Sources directly from artisans/artists — receptive to unique British-made ranges,Needs enrichment,web-search,DISCOVERED,Central AI
Amanda Hanley By Design,Interior designer / showroom,Lifestyle showroom + design,South West,Burford,https://amandahanley.co.uk,High,SME,Bespoke velvet upholstery complements their exclusive fabrics/upholstery offer,Family-run showroom offering bespoke upholstery — likely wholesale buyer of components,Needs enrichment,web-search,DISCOVERED,Central AI
Homebarn,Lifestyle / interiors boutique,Vintage + interiors destination,South East,Marlow,https://homebarnshop.co.uk,Medium,SME,Velvet statement pieces contrast their vintage/reclaimed stock,Destination interiors shop with footfall — good for photogenic hero pieces,Needs enrichment,web-search,DISCOVERED,Central AI
Basus,Lifestyle / interiors boutique,Furniture lighting & accessories,Scotland,Giffnock (Glasgow),https://basus.co.uk,High,SME,Statement velvet + mosaic/mirrored lines fit their unique curation,"Stocks unique furniture, lighting and accessories — direct catalogue match",Needs enrichment,web-search,DISCOVERED,Central AI
Ampersand,Interior designer / boutique,Bespoke furniture & interiors,Scotland,Edinburgh,https://ampersand-edinburgh.co.uk,Medium,SME,Bespoke velvet as a made-to-order option for their design clients,Interior architecture & bespoke furniture since 1993,Needs enrichment,web-search,DISCOVERED,Central AI
TL Home,Independent lighting retailer,Lighting & furniture showroom,Scotland,Glasgow,https://tlhome.co.uk,High,Mid,Your lighting range (mosaic lamps, chrome,,,DISCOVERED,Central AI
Chantillie House,Lifestyle / interiors boutique,Statement homeware,Scotland,Scotland,https://chantilliehouse.com,High,SME,"""Statement"" homeware is literally their category — velvet artwork fits",Specialises in statement homeware pieces with UK-wide delivery,Needs enrichment,web-search,DISCOVERED,Central AI
Haygen,Lifestyle / gift boutique,Homeware fashion & gifts,London,Islington,https://haygen.co.uk,Medium,SME,Velvet cushions/artwork & gift lines fit their curated gift mix,Curated homeware + gifts boutique — good for accessories & gift SKUs,Needs enrichment,web-search,DISCOVERED,Central AI
Wattle and Daub,Lifestyle / interiors boutique,Home & lifestyle,South East,Godalming,https://wattleanddaub.co.uk,Medium,SME,Thoughtful UK-made velvet pieces suit their sourced/salvaged ethos,Sources thoughtful products for the home — fits British-made angle,Needs enrichment,web-search,DISCOVERED,Central AI
Harbour Lane Studio,Lifestyle / homeware boutique,Homeware & lighting,Scotland,Edinburgh + Highlands,https://harbourlane.com,Medium,SME,Made-to-order velvet complements their made-to-order illustrated homeware,Made-to-order homeware & lighting — aligned with bespoke model,Needs enrichment,web-search,DISCOVERED,Central AI
Lifestory,Lifestyle / interiors boutique,Scandinavian design store,Scotland,Edinburgh,https://lifestoryshop.com,Low,SME,Only design-led velvet pieces likely to fit their Scandi curation,Scandi-led curation may limit fit — test with a tight edit,Needs enrichment,web-search,DISCOVERED,Central AI
Hoos,Lifestyle / interiors boutique,Nordic + local homeware,Scotland,Glasgow,https://hooshome.com,Low,SME,Statement velvet as contrast to Nordic minimalism,Nordic aesthetic — narrower fit; worth a targeted approach,Needs enrichment,web-search,DISCOVERED,Central AI
Oraanj Interiors,Interior designer,Residential + hospitality + FF&E,London,London,https://oraanj-interiors.co.uk,High,Mid,Custom velvet = spec-able bespoke pieces for their FF&E projects,Full FF&E procurement service — specifies & buys furniture/lighting per project,Needs enrichment,web-search,DISCOVERED,Central AI
Make Bespoke Studio,Interior designer,Bespoke residential & hospitality,London,Chelsea Harbour,https://makebespoke.com,High,Mid,Bespoke velvet upholstery slots into their bespoke furniture network,Coordinates specialist workshops for bespoke furniture — potential make partner + buyer,Needs enrichment,web-search,DISCOVERED,Central AI
Toni Bond Interiors,Interior designer,Design + procurement,UK,UK,https://tonibond.co.uk,High,SME,Velvet statement pieces for their furniture design & procurement service,Runs furniture design & procurement — specifies wholesale pieces,Needs enrichment,web-search,DISCOVERED,Central AI
Jessica Lightbody,Interior designer,Hospitality / hotel FF&E,UK,UK,https://jessicalightbody.co.uk,High,Mid,Bold velvet for boutique-hotel lobbies/bars — her specialism,Luxury hospitality interiors + FF&E procurement for boutique hotels,Needs enrichment,web-search,DISCOVERED,Central AI
SP3 London,Interior designer,FF&E design & procurement,London,London,https://sp3london.com,High,Mid,Custom velvet contract pieces for their end-to-end FF&E projects,End-to-end FF&E specification & procurement,Needs enrichment,web-search,DISCOVERED,Central AI
Occa Design Studio,Interior designer,Hotel FF&E procurement,UK,UK,https://occa-design.com,High,Mid,Statement velvet for hospitality schemes,FF&E & OS&E procurement for hotels — volume contract buyer,Needs enrichment,web-search,DISCOVERED,Central AI
Cheshire Interiors,Interior designer,Custom furniture & interiors,North West,Cheshire,https://cheshire-interiors.com,High,SME,Custom velvet as a made-to-order line for their bespoke projects,"Custom-made furniture & bespoke interiors, local to Blackpool",Needs enrichment,web-search,DISCOVERED,Central AI
Hospitality Projects,Hospitality / contract FF&E,Bespoke hotel furniture,UK,UK,https://hospitality-projects.com,High,Mid,Custom velvet for bespoke hotel seating/headboards,15+ yrs bespoke hotel furniture — contract volume buyer,Needs enrichment,web-search,DISCOVERED,Central AI
Elite FF&E,Hospitality / contract FF&E,Bespoke hospitality furniture,UK,UK,https://eliteffe.co.uk,High,Mid,Velvet upholstery for hotel/developer projects,Bespoke furniture + procurement for hotels & developers,Needs enrichment,web-search,DISCOVERED,Central AI
Ultimate Commercial Interiors,Hospitality / contract FF&E,FF&E contracting,UK,UK,https://ultimategroup.uk.com,Medium,Mid,Velvet contract seating within fit-out packages,Specifies & sources FF&E for fit-out projects — volume,Needs enrichment,web-search,DISCOVERED,Central AI
Select Contract Furniture,Hospitality / contract FF&E,Hotel furniture,UK,UK,https://select-contract-furniture.com,Medium,Mid,Velvet signature chairs for hotel operators,Supplies hotel operators & designers — contract channel,Needs enrichment,web-search,DISCOVERED,Central AI
The Staging Works,Home staging / furnisher,Property styling & staging,UK,UK,https://thestagingworks.co.uk,High,SME,Photogenic velvet hero pieces lift staged rooms & listing photos,Buys/rents furniture in volume for staging — repeat purchaser,Needs enrichment,web-search,DISCOVERED,Central AI
InStyle Direct,Home staging / furnisher,Airbnb & short-let furnishing,UK,UK,https://instyledirect.com,High,Mid,Statement velvet in furnishing packages (£3k+) as premium upsell,High-volume furnishing packages — repeat bulk buyer,Needs enrichment,web-search,DISCOVERED,Central AI
HouseWow,Home staging / furnisher,Property styling & furniture rental,UK,UK,https://housewow.co.uk,High,SME,Velvet artwork & accent pieces for SA/holiday-let styling,"Furnishes SA, HMO, holiday lets — furniture, artwork, lighting, rugs",Needs enrichment,web-search,DISCOVERED,Central AI
Home Staging London,Home staging / furnisher,Turnkey staging & furnishing,London,London,https://homestaginglondon.co.uk,Medium,SME,Velvet statement pieces for turnkey staged homes,Turnkey furnishing & styling — recurring furniture demand,Needs enrichment,web-search,DISCOVERED,Central AI
Hamilton Home Staging,Home staging / furnisher,Airbnb & hotel design,UK,UK,https://hamiltonhomestaging.co.uk,Medium,SME,Velvet + lighting + artwork bundles for Airbnb schemes,Procures furniture/lighting/art for Airbnb & hotel design,Needs enrichment,web-search,DISCOVERED,Central AI
Sofas & Stuff,Independent furniture retailer,British bespoke sofas,National (multi-showroom),Knutsford + UK,https://sofasandstuff.com,Low,Mid,Limited — they make their own upholstery; accessories/lighting only,Bespoke sofa maker (partial competitor) — approach for accessories/lighting not upholstery,Needs enrichment,web-search,DISCOVERED,Central AI
Cotswold Company,Furniture retailer,Oak & painted furniture,National,Stow-on-the-Wold + UK,https://cotswoldco.com,Low,Large,"Own-brand focused; velvet accents/accessories only, low probability",Large own-brand retailer — lower wholesale-buy likelihood; deprioritise,Needs enrichment,web-search,DISCOVERED,Central AI
Curtis Furniture,Hospitality / contract FF&E,Hotel bedroom furniture (manufacturer),Yorkshire,Leeds,https://curtisfurniture.co.uk,Low,Large,Manufacturer/competitor — partnership not sales,Makes own contract furniture — competitor; watch,,Needs enrichment,DISCOVERED,Central AI
Gunter & Co,Interior designer,Residential interiors,London,London,https://gunterandco.com,Medium,SME,Velvet statement pieces for their residential schemes,Residential interior design studio — specifies furniture,Needs enrichment,web-search,DISCOVERED,Central AI
Design 44,Lifestyle / interiors boutique,Scandinavian design & gifts,UK,UK,https://design44.co.uk,Low,SME,Design-led velvet only; Scandi curation limits fit,Scandi/design-led curation — narrow fit; test lightly,Needs enrichment,web-search,DISCOVERED,Central AI
HelloGuest,Home staging / furnisher,Airbnb management & decoration,UK,UK,https://helloguest.co.uk,Medium,SME,Velvet accents in their Airbnb decoration service,Furnishes Airbnb properties — recurring furniture need,Needs enrichment,web-search,DISCOVERED,Central AI
